Date,Last Price,Volume,SMAVG (15)
04/12/2015,119.03,57776976,36818656
03/12/2015,115.2,41569508,35135232
02/12/2015,116.28,33386564,35378460
01/12/2015,117.34,34852376,37094552
30/11/2015,118.3,39180320,37029156
27/11/2015,117.81,13046445,36619952
25/11/2015,118.03,21388308,38387036
24/11/2015,118.88,42803172,39953552
23/11/2015,117.75,32482528,40134604
20/11/2015,119.3,34287096,40115988
19/11/2015,118.78,43295820,41121196
18/11/2015,117.29,46674696,41649964
17/11/2015,113.69,27616940,44241744
16/11/2015,114.175,38106700,47059572
13/11/2015,112.34,45812404,48941380
12/11/2015,115.72,32525580,49845012
11/11/2015,116.11,45217972,50453580
10/11/2015,116.77,59127932,50260848
09/11/2015,120.57,33871404,49583500
06/11/2015,121.06,33042284,49309352
05/11/2015,120.92,39552680,49722040
04/11/2015,122,44886048,49596756
03/11/2015,122.57,45518976,49568516
02/11/2015,121.18,32203268,48737204
30/10/2015,119.5,49365256,48621464
29/10/2015,120.53,51227336,48848192
28/10/2015,119.27,85551352,49565008
27/10/2015,114.55,69884400,46979288
26/10/2015,115.28,66333780,45577460
23/10/2015,119.08,59366912,44626188
22/10/2015,115.5,41654088,44536380
21/10/2015,113.76,42326976,46021380
20/10/2015,113.77,48967764,47631116
19/10/2015,111.73,29759152,49257624
16/10/2015,111.04,39232608,50747616
15/10/2015,111.86,37673452,51875572
14/10/2015,110.21,44462448,52711972
13/10/2015,111.79,33049256,52131592
12/10/2015,111.6,30467204,
09/10/2015,112.12,52766140,
08/10/2015,109.5,61979576,
07/10/2015,110.78,46765552,
06/10/2015,111.31,48856976,
05/10/2015,110.78,52064744,
02/10/2015,110.38,58019760,
01/10/2015,109.58,63929100,
30/09/2015,110.3,66473032,
29/09/2015,109.06,73365384,
28/09/2015,112.44,52109012,
25/09/2015,114.71,56151928,
24/09/2015,115,50219476,
23/09/2015,114.32,35756716,
